日期,開盤,最高,最低,收盤,成交量
20120102,1564.7,1567.42,1564.7,1564.5,0
20120103,1568.67,1607.4,1566.8,1604.11,0
20120104,1603.4,1618.57,1592.7,1611.9,0
20120105,1610.9,1625.77,1597.07,1622.3,0
20120106,1622.17,1631.1,1608.8,1618,0
20120109,1619.93,1623.69,1605.1,1610.6,0
20120110,1610.3,1640.34,1607.3,1631.8,0
20120111,1632.01,1647.14,1630,1641,0
20120112,1641.2,1661.95,1640,1649.6,0
20120113,1649.3,1650,1625.5,1638.6,0
20120116,1638.5,1647.06,1631.3,1642.9,0
20120117,1642.6,1667.72,1641.6,1651.7,0
20120118,1651.5,1662.4,1642.93,1659.1,0
20120119,1659,1670.09,1649.2,1657.1,0
20120120,1657.3,1666.75,1645.2,1665.7,0
20120123,1666,1681.5,1663.2,1676.4,0
20120124,1676.8,1679.82,1661.79,1665,0
20120125,1665,1713,1649.32,1709.9,0
20120126,1709.9,1730.95,1703.33,1719.6,0
20120127,1720.75,1739.77,1714.59,1738.4,0
20120130,1738.87,1739.8,1716.54,1729.3,0
20120131,1729,1747.66,1726.51,1737.1,0
20120201,1736.8,1751.5,1732.85,1744.1,0
20120202,1742.9,1761.04,1741.24,1758.6,0
20120203,1758.5,1763.24,1723.7,1725.4,0
20120206,1724.1,1738.1,1712.05,1719.2,0
20120207,1719.1,1749.85,1710.38,1744.4,0
20120208,1744.1,1752.09,1724.3,1732.3,0
20120209,1732.1,1752.8,1725.6,1729,0
20120210,1729.05,1734.9,1704.9,1721.3,0
20120213,1721.51,1733.32,1716.2,1721.93,0
20120214,1722,1727.83,1712.3,1720,0
20120215,1720.2,1737.23,1718.3,1727.5,0
20120216,1727.4,1729.94,1705.55,1727.83,0
20120217,1727.7,1735.87,1717.5,1723,0
20120220,1722.4,1737.2,1722.2,1733.7,0
20120221,1733.6,1759.9,1730.7,1758.7,0
20120222,1758.6,1781.7,1749.58,1776.3,0
20120223,1776.2,1787.45,1772.3,1780.28,0
20120224,1780.5,1782.88,1770.4,1771.6,0
20120227,1771.5,1779.42,1761.82,1766.8,0
20120228,1766.9,1790.25,1765.6,1783.9,0
20120229,1784.05,1790.66,1688.3,1696.76,0
20120301,1696.79,1726.05,1693.8,1717.9,0
20120302,1718.1,1724.3,1705.23,1712.1,0
20120305,1711.7,1716.77,1694.08,1706.05,0
20120306,1706.1,1708.97,1663.41,1673.6,0
20120307,1673.9,1688.18,1671.52,1684.9,0
20120308,1684.85,1704,1683,1699.53,0
20120309,1699.55,1714.95,1676.98,1713.55,0
20120312,1713.55,1716.68,1692.7,1700.04,0
20120313,1700.3,1705.68,1661.9,1674.9,0
20120314,1674.9,1682.3,1634.1,1642.38,0
20120315,1642.41,1666.7,1635.9,1656.8,0
20120316,1656.86,1664.82,1639.8,1659.1,0
20120319,1659.4,1669.81,1652.6,1663.29,0
20120320,1663.5,1664.67,1641.75,1650.23,0
20120321,1650,1661.8,1646.7,1649.5,0
20120322,1649.4,1656.6,1628.3,1644.5,0
20120323,1644.49,1666.54,1642.1,1643.85,0
20120326,1661.4,1693.47,1655.77,1689.5,0
20120327,1689.5,1697.02,1679.3,1680.13,0
20120328,1680.03,1684.55,1654.8,1662.6,0
20120329,1662.5,1665,1645.15,1661,0
20120330,1660.74,1670.93,1659.5,1668.13,0
20120402,1667.8,1683.57,1663.1,1676.4,0
20120403,1676,1681.1,1638.6,1645.31,0
20120404,1645.5,1648,1612.53,1619.95,0
20120405,1620.22,1633.51,1619.6,1630.2,0
20120406,1629.87,1642.2,1628.6,1638.8,0
20120409,1630.2,1648.8,1629.6,1639.4,0
20120410,1640.9,1663.1,1631.9,1658.2,0
20120411,1658.97,1662.7,1653.05,1659,0
20120412,1659.15,1680.12,1650.62,1674.5,0
20120413,1674.5,1678.02,1649.3,1657.5,0
20120416,1657.5,1658,1641.3,1652.35,0
20120417,1652.4,1657.52,1634.73,652.35,0
20120418,1649.89,1654.41,1638.08,1641.8,0
20120419,1641.91,1653.8,1631.15,1641.9,0
20120420,1642.69,1647.16,1638.68,1642.3,0
20120423,1642.2,1643.27,1623.2,1637.9,0
20120424,1637.94,1649.22,1634.23,1640.85,0
20120425,1640.88,1646.56,1624.92,1643.5,0
20120426,1643.95,1661.05,1641.8,1654.61,0
20120427,1654.64,1668.1,1650.78,1662.3,0
20120430,1662.4,1666.3,1644.7,1664.71,0
20120501,1664.66,1671.64,1657.25,1662.9,0
20120502,1662.8,1663.5,1646.33,1653.5,0
20120503,1653.26,1653.9,1631.2,1635.93,0
20120504,1635.6,1647.4,1626.9,1642,0
20120507,1643.1,1643.2,1632.39,1638.25,0
20120508,1638.32,1639.3,1595.58,1605.3,0
20120509,1604.9,1606.53,1578.95,1590.02,0
20120510,1590.05,1601.98,1585.88,1593.4,0
20120511,1593.26,1595.1,1573.3,1578.9,0
20120514,1578.9,1585.9,1556,1556.72,0
20120515,1556.77,1564.6,1541.3,1544.17,0
20120516,1544.14,1552.41,1527.24,1539.2,0
20120517,1539.1,1579.88,1538.4,1574.19,0
20120518,1574.19,1597.55,1568.2,1592.9,0
20120521,1592.9,1599.1,1585.09,1593.16,0
20120522,1593.16,1594.5,1561.3,1567.35,0
20120523,1567.32,1568.57,1533.7,1561.95,0
20120524,1561.93,1577.97,1551.73,1557.8,0
20120525,1558.27,1574.17,1551.3,1572.3,0
20120528,1572.3,1583.95,1571.3,1574.3,0
20120529,1574.1,1582.7,1548.59,1554.31,0
20120530,1554.29,1569.6,1531.7,1562.75,0
20120531,1562.45,1573.35,1552.37,1560,0
20120601,1559.89,1630.15,1545,1624.1,0
20120604,1624.1,1628.06,1609.03,1618.05,0
20120605,1618.56,1623.53,1612.14,1616.99,0
20120606,1617.06,1640.9,1613.5,1619.96,0
20120607,1620.4,1629.18,1578.7,1589.61,0
20120608,1589.65,1595.14,1555.3,1593.6,0
20120611,1593,1608.15,1582,1595.5,0
20120612,1595.49,1617.63,1586.45,1609.51,0
20120613,1609.71,1624.8,1605.9,1617.94,0
20120614,1617.99,1628.04,1609.72,1623.29,0
20120615,1622.98,1633.85,1619.8,1627.2,0
20120618,1626.9,1630.19,1607.15,1626.82,0
20120619,1626.65,1633.35,1617.1,1618.34,0
20120620,1618.17,1622.7,1590.63,1606.48,0
20120621,1606.35,1607.1,1564.5,1564.8,0
20120622,1564.9,1573.45,1558.5,1571.7,0
20120625,1572.1,1588.34,1566.59,1587.06,0
20120626,1587.06,1587.2,1567.88,1572.24,0
20120627,1571.7,1583.35,1562.9,1573.6,0
20120628,1573.8,1579.02,1548.25,1551.9,0
20120629,1551.17,1607.09,1550.8,1597.43,0
